"Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125"
7.609,1.6,-1.708,3.184,0.9,0.573,-4.24,-0.969,-0.22,1.474,-1.133,0.859,-2.134,1,0.112,0.413,-1.764,2.178,0.546,0.088,-2.741,5.526,0.094,1.475,1.474,0.101,-0.923,-2.276,1,0.667,-0.161,-0.565,3.261,-2.127,3.177,-2.105,-0.057,0.278,3.961,-3.044,1.894,0.095,6.295,-0.297,-0.9,-2.322,0.392,-1.152,0,4.352,0.877,0.283,-1.865,-2.302,1.09,0.122,0.232,-1.258,-2.854,1.561,1.538,1.776,-1.508,-1.099,-0.223,2.1,-1.298,-0.072,0.936,-1.886,-1.306,2.466,1.991,-2.852,-1.431,0,-1.891,3.273,0.505,"C",0.103,-2.112,0,-6.26,-0.437,0,-2.298,-2.369,-0.539,1,1.269,-0.325,-1.984,"B",-1.275,0,1.372,-0.83,1.345,0.389,0,-2.692,-0.072,2.524,-2.024,1.194,5.419,2.164,0.359,-1.143,1.698,-0.372,1.98,-0.872,0.357,-0.31,-0.369,0,-3.23,"C",-0.384,-0.347,0.363,1.406,1.786,0
21.386,0.2,-0.16,4.073,-1.3,0.412,-1.748,-0.9,1.381,-2.921,2.704,-1.933,-0.027,1,0.358,-0.859,2.442,0.136,-1.341,0.405,1.31,-2.131,-2.017,1.855,1.333,-1.957,-1.064,-0.086,1,1.318,-1.559,-3.626,2.843,0.501,2.654,-1.867,-0.819,-0.582,-1.137,-1.51,2.984,4.166,2.939,-0.184,-0.4,1.056,-2.246,-5.504,0,-0.848,1.094,0.486,0.205,0.824,-0.295,-1.326,-2.183,-3.118,-2.666,-1.067,-1.232,-3.95,-2.436,1.532,-6.15,0.87,3.803,0.901,0.893,-1.985,-0.681,-2.323,0.138,-0.478,1.106,0,0.418,0.501,0.224,"C",2.391,2.419,0,1.495,-0.903,0,-0.677,5.263,-0.253,0,-2.079,-1.729,1.546,"B",-3.555,0,-1.068,-1.143,-0.977,-1.574,1,-1.818,0.04,-0.349,4.205,1.868,-1.291,0.853,2.53,-2.157,2.613,0.161,1.863,-0.02,5.846,-0.591,-2.142,0,1.23,"D",1.782,1.361,-4.757,-0.192,-1.364,1
29.726,4.3,-1.938,-2.679,2,0.494,-2.453,3.737,1.365,0.889,-1.984,-0.041,1.714,1,0.25,-1.023,1.138,0.008,2.013,0.212,0.547,-3.802,-0.484,-0.046,2.108,-0.412,-0.914,4.364,0,-1.452,-0.249,-1.023,0.629,0.162,4.601,2.036,0.832,2.118,1.631,-0.934,-0.168,-0.688,2.618,-2.419,1.2,1.249,-0.284,-0.892,1,-0.328,3.751,0.283,0.34,-1.619,0.844,4.3,-1.232,-1.406,-0.798,-0.13,-1.221,3.477,2.435,-2.387,0.897,-2.61,-1.155,4.692,0.724,-0.639,3.067,1.859,0.383,1.003,2.777,0,0.683,1.761,0.473,"B",-0.695,-1.677,1,0.271,-0.141,1,3.667,-2.828,-0.85,1,-1.734,1.063,1.721,"A",4.674,0,1.675,-1.683,2.219,-1.732,1,-1.451,1.738,-2.073,-0.996,-3.065,0.859,1.034,1.087,0.539,1.125,-3.141,-3.328,2.831,-0.436,-3.879,-3.949,0,3.391,"B",-0.557,1.381,3.631,1.554,-0.304,1
30.036,-0.7,-3.608,-3.945,-3.7,0.468,-1.458,-0.348,-0.858,-0.585,-0.439,1.585,0.225,1,0.127,-0.541,-0.072,1.025,1.144,0.373,1.447,-2.036,-3.548,3.785,2.483,3.146,0.86,-1.231,1,0.763,-0.752,0.138,-2.429,0.088,-0.825,0.268,-0.805,3.75,-0.333,0.118,-3.266,-0.829,1.496,-0.996,-3.7,2.932,0.964,0.478,1,-2.969,1.269,-1.304,-5.204,-2.425,2.278,-2.817,-0.24,-0.465,0.204,3.393,2.946,-2.06,1.282,-3.467,-2.927,-0.3,0.272,0.027,0.573,0.5,1.633,-1.209,2.366,0.589,1.223,1,-1.639,2.523,0.536,"C",-1.049,1.133,1,-0.135,2.55,0,0.192,-0.832,1.723,0,-1.638,1.996,-1.29,"B",-0.824,0,-0.787,-0.879,3.863,2.683,0,1.136,-0.206,0.178,-2.617,1.009,2.145,-1.234,6.516,1.432,0.26,1.829,0.64,0.112,-3.258,-2.17,0.629,0,1.224,"B",0.322,1.11,-3.396,2.397,2.082,0
-9.191,-2,-1.773,-0.161,0.8,0.565,-0.063,-3.592,-1.775,1.053,-0.869,-2.738,0.234,0,0.355,0.173,2.08,-0.114,1.148,0.483,-0.3,1.169,-0.066,-0.982,-0.01,-1.51,-0.929,-1.656,0,1.504,-3.087,1.162,2.613,-1.986,-1.352,2.295,2.219,0.428,2.654,2.827,4.552,-2.656,-3.839,-2.937,1.4,-3.616,2.098,2.008,0,-0.22,0.077,2.432,1.362,1.286,0.051,-2.885,-0.241,0.115,0.573,-0.804,1.806,1.596,-1.39,-0.891,1.317,-1.78,0.016,0.89,0.502,0.749,2.83,-0.744,-0.203,5.251,-1.303,0,0.28,0.829,0.596,"B",1.835,0.631,0,-2.674,-0.269,1,-2.368,0.593,1.326,0,1.712,-2.116,3.495,"C",0.976,0,0.206,0.061,0.138,-2.179,0,-0.358,2.066,-0.449,-0.007,-0.356,2.186,1.035,2.645,2.965,-1.178,2.328,-1.024,-2.497,-0.678,2.678,1.646,0,-1.647,"C",-0.054,0.035,0.791,4.61,0.285,0
26.232,0.5,-0.691,2.278,-2.6,0.506,-4.662,4.787,2.397,1.667,1.339,-1.993,2.003,1,0.307,-1.277,-2.766,1.68,-2.383,0.43,-0.885,1.158,1.836,2.422,-1.784,1.653,2.195,1.481,1,0.026,-0.814,-1.968,-2.444,-0.014,3.193,0.645,0.358,1.935,1.299,1.388,-1.246,-0.83,-2.918,-1.408,-0.3,0.768,6.202,-1.223,0,-0.548,-1.757,4.238,-0.102,2.306,-1.402,-2.009,1.795,0.755,1.228,-1.16,0.866,-1.173,1.643,-3.103,-0.45,-0.28,2.299,1.347,0.657,-3.45,-0.678,-1.459,1.574,-1.521,1.81,0,2.663,-0.669,0.556,"C",2.451,-1.364,0,3.065,0.889,1,0.692,0.73,-0.243,0,0.553,1.273,0.972,"A",0.715,0,2.41,3.818,-1.26,0.621,0,0.443,-2.375,-3.416,-1.175,1.934,5.501,-2.003,-3.53,1.113,1.406,0.936,-1.527,-7.192,1.107,0.69,0.02,0,-1.069,"D",-4.865,0.261,1.47,-2.034,-0.364,0
18.984,0,1.139,1.34,-2,0.487,4.412,0.115,1.027,0.492,-0.425,-1.269,-1.273,1,0.231,5.098,0.822,4.11,-0.779,0.515,-0.658,-1.86,-7.002,3.255,1.773,2.419,0.037,3.096,1,4.077,2.635,-1.209,0.456,-2.598,4.205,-0.335,-0.844,-2.762,1.44,2.054,-0.334,0.81,-1.674,0.407,-0.2,-1.934,-0.864,-0.998,0,-1.537,0.842,-0.914,2.585,4.576,-0.838,4.23,-1.242,-1.338,-0.324,0.611,-2.847,-3.013,-1.812,1.713,1.012,-2.4,-0.146,0.645,0.61,1.165,0.25,-2.612,-1.348,-0.817,1.931,0,3.872,-0.078,0.441,"B",2.062,3.822,0,-2.738,-1.607,1,-1.616,1.785,2.45,0,0.086,-0.731,0.564,"C",-0.421,1,0.954,0.835,-0.808,0.943,0,1.968,-1.152,-1.978,0.883,-0.131,-1.918,0.166,-1.652,0.463,-0.319,1.277,-5.731,-1.661,3.12,3.366,-1.514,0,-0.928,"A",-1.656,-2.697,-1.17,-1.968,-0.142,1
26.588,-0.5,-0.873,-0.132,2,0.411,-3.992,1.841,2.692,2.844,0.754,2.503,0.577,0,0.278,0.855,-0.482,0.773,-1.186,0.488,1.969,3.274,-2.333,1.802,-1.992,-1.143,-2.773,1.576,0,2.829,4.526,0.143,-0.07,-1.121,1.755,-0.73,1.069,-3.291,0.149,-1.827,-3.511,0.283,-1.348,1.715,0.2,2.838,-3.457,-2.932,0,-1.212,1.356,2.071,4.275,2.162,1.608,0.303,-3.995,4.556,-0.476,1.055,-0.36,0.738,1.304,0.166,-2.748,-0.95,0.27,-0.138,0.934,0.229,1.051,-0.389,1.507,2.27,3.11,0,-1.879,-2.176,0.22,"A",-2.215,-0.718,0,0.668,-0.515,1,-1.658,1.717,2.624,0,1.583,0.775,-0.911,"B",-2.063,1,-3.331,0.346,-3.25,1.143,0,-0.637,-0.485,1.686,0.336,-4.28,-3.693,0.616,1.72,-1.424,-0.022,-1.784,-0.219,2.762,-0.445,0.61,0.987,0,-1.977,"A",-3.681,0.131,0.372,-1.857,-0.051,1
-2.367,-1.4,-1.63,1.242,4.5,0.45,0.893,-1.948,1.532,-3.121,2.14,-0.016,1.241,1,0.311,-3.736,5.433,-0.206,-1.617,0.037,2.292,0.794,0.586,-4.253,-2.578,-1.035,-0.463,3.493,1,-2.47,1.414,-0.891,-0.609,3.806,-1.388,1.606,2.039,-1.854,-2.049,-3.791,-1.7,1.225,2.137,-0.257,-2,-1.925,0.202,-1.288,0,1.102,-1.092,-3.573,-3.851,-0.589,-1.888,4.25,3.175,1.656,2.183,1.503,-0.389,-0.639,-0.503,0.489,-2.376,0.13,-1.786,1.314,0.544,0.304,3.727,-0.838,-0.329,-1.101,0.52,0,0.782,1.364,0.25,"C",1.486,-2.284,1,-1.024,-0.575,1,-1.173,-4.524,-0.925,0,5.182,-3.074,2.013,"A",5.313,0,-0.463,2.393,2.171,0.9,0,3.745,-4.52,-1.17,-1.42,1.781,-1.386,-1.443,0.934,0.352,1.519,2.502,-0.538,2.524,0.498,0.493,-0.122,0,-0.903,"B",1.004,-4.028,1.914,-1.069,-0.753,0
8.471,2.9,0.063,0.216,-0.5,0.48,0.655,3.902,0.436,-2.22,2.392,0.415,-0.75,0,0.103,1.41,0.634,-1.183,0.474,0.382,0.952,-0.542,1.646,-0.552,-0.131,-2.111,4.049,0.768,1,3.312,4.02,-1.269,0.948,1.553,2.174,3.741,-1.829,2.323,0.068,-0.524,-2.363,0.662,-0.637,-0.036,2.3,1.398,1.738,-5.633,0,0.354,1.078,2.172,2.366,-0.391,0.746,-0.258,-1.579,0.717,-0.455,-2.069,-0.772,-1.165,1.235,-0.781,0.465,-0.42,1.274,2.343,0.272,2.336,1.696,2.218,-0.545,-2.486,-1.28,0,0.273,-2.767,0.42,"B",3.757,-1.54,0,-0.341,0.533,1,-1.283,1.289,2.587,0,1.635,-1.05,1.956,"B",2.396,1,-2.253,-0.753,4.081,0.411,0,2.488,-4.411,0.918,-0.363,-2.299,0.609,0.404,4.146,2.372,-0.347,-1.14,3.076,1.175,0.61,-2.273,-0.962,0,0.586,"C",3.448,-0.476,-2.644,-1.342,-1.735,0
15.168,2.9,5.906,-0.989,0.6,0.422,1.881,0.302,3.65,1.524,1.808,-2.218,3.551,0,0.244,1.135,0.333,0.506,2.275,0.191,-0.729,2.126,1.472,-0.662,2.363,-1.714,3.103,-5.11,0,-0.403,-2.126,-0.815,-1.26,2.881,3.138,0.748,0.435,4.007,-1.618,1.109,2.204,-1.163,0.669,-0.356,1.1,4.237,2.822,1.37,0,0.568,2.979,0.61,0.621,1.864,-2.229,-5.41,0.072,1.852,-0.127,0.902,0.925,1.345,0.299,-2.361,-0.305,-0.81,0.919,1.347,0.762,-2.4,0.02,3.108,1.633,0.981,0.548,0,1.401,1.664,0.431,"A",3.176,1.02,0,1.026,0.145,1,1.619,-1.123,-1.951,1,0.209,0.032,1.534,"A",0.887,0,-0.983,1.83,0.659,0.919,1,1.624,2.297,0.747,-2.586,2.317,-0.885,-0.187,-2.012,-2.111,1.781,-2.013,1.877,-0.894,2.434,-2.826,-1.424,0,1.211,"B",-3.361,4.703,-0.92,-2.288,0.475,0
19.453,-2.5,1.682,0.036,-0.7,0.484,-1.773,1.458,-5.373,0.387,-2.357,-1.137,1.806,1,0.237,1.876,-3.918,-3.008,-3.628,0.283,0.446,-3.227,-1.836,-1.812,-2.95,-1.078,-2.196,1.217,0,0.164,0.156,-2.756,-1.73,6.729,0.549,4.362,0.719,2.478,1.651,-0.948,1.481,0.442,-2.463,1.611,-1,1.006,-2.025,0.403,0,1.519,2.658,-3.145,0.546,0.147,0.176,-1.937,-0.238,0.212,2.337,0.327,-3.045,0.59,-0.079,-0.879,-0.942,-1.28,-1.815,0.155,0.851,-5.38,-0.642,-1.459,1.011,-3.783,2.724,0,-2.01,1.764,0.262,"C",0.436,2.001,0,0.212,-2.894,1,-1.758,5.427,3.354,0,-0.42,2.621,-0.227,"B",-0.14,0,5.588,0.022,0.374,1.819,0,0.136,0.244,2.997,2.343,0.925,-0.167,1.443,1.672,-1.577,3.324,1.999,-0.14,0.334,2.578,2.061,0.078,0,-0.045,"B",0.996,-0.792,0.848,-1.388,0.059,0
24.544,-1.8,-1.492,0.125,0.5,0.448,-2.932,-0.802,4.162,-2.191,-0.558,0.226,-1.511,1,0.287,-1.337,-0.271,3.707,1.887,0.29,-4.219,1.907,1.531,1.998,2.119,1.097,-1.782,-1.116,1,-0.232,0.141,1.311,-0.922,4.389,1.772,2.777,-3.344,-1.984,-0.139,-0.183,0.764,-0.209,2.161,-2.841,-0.4,-1.822,2.254,-0.838,0,0.062,1.784,0.705,-0.229,-1.649,1.068,-0.804,0.221,-2.172,0.151,1.171,-2.101,-1.808,-1.325,-0.051,-1.766,0.58,-4.512,-1.272,0.931,1.917,3.152,0.486,0.572,0.558,0.356,0,-2.31,1.345,0.256,"B",3.492,-0.383,0,-1.533,2.427,0,-0.33,0.997,-0.406,0,4.415,1.988,1.036,"B",-3.125,0,0.983,-1.516,2.667,-2.22,0,1.83,-0.253,1.315,0.673,0.718,0.942,0.823,0.671,-0.983,-1.15,2.106,1.489,-4.261,0.644,0.972,-0.503,0,1.749,"B",1.673,1.741,0.831,-4.345,-0.275,1
26.978,2.8,1.702,-2.271,-2,0.57,-0.041,-1.926,-1.34,2.345,0.328,-0.509,-0.138,1,0.19,0.019,-3.801,-4.392,-0.714,0.006,2.378,-4.254,0.719,-2.532,0.827,1.541,2.938,2.038,0,-0.38,0.827,0.217,-0.303,-0.846,2.596,-3.196,-0.982,3.028,-1.084,-1.971,1.474,1.429,0.975,-1.092,-2.5,0.858,-0.471,0.434,0,0.159,-1.194,-0.713,0.026,1.853,-1.56,2.84,-0.292,0.306,-1.562,1.289,0.012,3.078,-3.784,0.029,-0.606,1.29,-2.963,-2.279,0.678,1.592,-0.073,0.235,-0.262,-3.607,1.12,0,-1.894,-0.631,0.242,"C",-0.505,-1.695,0,-6.208,-1.799,0,0.11,-3.839,-1.211,0,-2.355,3.314,0.403,"B",-3.43,0,-2.09,-5.008,2.25,1.273,0,1.725,-0.925,1.56,-0.208,2.578,1.98,0.288,1.385,-1.68,-3.726,3.023,-1.824,-1.77,0.681,-0.842,1.358,0,0.263,"B",-1.369,1.793,-0.675,2.278,-1.126,1
30.119,2.8,-3.947,0.306,1.4,0.445,-2.934,-3.141,-0.345,-0.396,-1.433,0.009,1.065,1,0.305,1.463,1.809,-1.951,0.953,0.423,-1.746,-3.327,1.062,1.931,3.067,-1.544,-1.314,-2.168,0,2.588,-2.753,-2.516,0.09,3.968,2.695,-1.146,0.369,1.535,-1.118,-2.557,-0.143,-1.743,1.014,-3.04,0.7,1.307,2.559,1.538,0,-0.246,4.444,2.006,-1.563,-1.208,-2.1,-0.946,-1.026,1.6,1.234,1.95,0.362,-1.483,0.123,1.077,0.324,3.12,-2.862,0.272,0.916,-1.37,0.19,-0.157,1.186,-0.174,0.768,0,3.852,-2.11,0.25,"C",-4.552,0.83,0,-2.297,5.021,0,0.695,-1.399,-3.073,1,2.115,-3.05,1.547,"B",0.351,0,-0.051,1.109,0.704,0.775,0,-2.399,0.237,-1.167,-2.485,2.146,-0.24,1.457,0.805,1.788,-0.255,-0.923,0.039,1.811,-2.707,-2.537,-3.036,0,0.785,"A",-2.085,-1.777,-2.557,-2.6,0.187,0
