"Day","tmpd","linear_pm25","linear_pm10","o3median","death"
133,79,-4.649606299,-19.0523416,12.147997524,102
134,74,-5.432984968,-0.983333333,6.5341642956,90
135,74,-2.649606299,4.8925619835,18.784164296,84
136,83,7.0503937008,40.914600551,10.769490808,107
137,83,2.9503937008,32.922865014,21.450975964,115
138,79,-2.749606299,11.903581267,16.564664191,103
139,82,3.0503937008,10.865013774,27.106330857,116
140,78,-6.532984968,-8.929888759,16.253128733,104
141,77,-3.749606299,-0.203856749,-1.060023504,116
142,74,-9.249606299,-15.21487603,3.522997524,96
143,70,3.7503937008,-4.228650138,2.6281287334,86
144,73,7.3503937008,22.782369146,5.8535730765,98
145,79,3.2503937008,16.796143251,10.314664191,92
146,69,-2.732984968,-7.358333333,4.3788551402,105
147,70,-10.1496063,-19.16574586,3.436157475,77
148,78,6.0503937008,8.820441989,7.412787484,105
149,72,0.4503937008,-1.212707182,11.39086762,103
150,74,-3.680392157,-11.14640884,11.064664191,104
151,75,7.0196078431,6.8402203857,8.4603768793,91
152,73,2.6016221034,-2.983333333,10.069097312,80
153,71,-4.880392157,-12.2369146,16.352824142,110
154,71,1.4196078431,-9.239669421,16.200830962,95
155,73,11.887401575,40.741046832,13.216780123,99
156,78,22.987401575,53.721763085,15.47468476,101
157,79,14.187401575,24.82369146,13.896089356,85
158,80,10.9444319461429,-1.655172414,0.9632442881,105
159,75,7.70146231728571,9.8512396694,5.4778241416,127
160,77,4.45849268842857,29.820936639,10.016066492,103
161,81,1.21552305957143,-0.201101928,11.611151024,94
162,79,-2.02744656928572,3.8898071625,5.7278241416,90
163,85,-5.27041619814286,23.920110193,14.481330857,112
164,76,-8.513385827,-9.05,-3.264236021,111
165,73,-4.613385827,4.867768595,-2.21516803,100
166,72,-9.813385827,-7.082644628,-0.496871267,104
167,70,-6.904743083,-5.027548209,1.960861077,107
168,70,-6.61496063,-13.9338843,5.6444908083,117
169,74,6.9850393701,6.0936639118,5.022997524,109
170,79,-6.586944601,9.7139830508,3.7548815819,103
171,77,-2.21496063,-11.93112948,11.711462067,113
172,72,-1.41496063,-2.892561983,-1.305902688,101
173,71,-4.296442688,-19.91460055,2.7500204858,100
174,72,-6.437401575,-3.933884298,9.2698764572,105
175,72,-6.637401575,-6.895316804,17.586462067,90
176,78,18.387549213,28.827380952,11.064976496,109
177,70,-2.237401575,-3.867768595,-1.882502371,101
178,76,1.1542892664,-5.920110193,0.5931365304,96
179,78,4.5459801078,6.0385674931,-4.365710077,138
180,75,7.9376709492,-0.060606061,-10.62969491,116
181,77,11.3293617906,-0.079889807,-2.526023774,81
182,77,14.721052632,3.7816060017,0.6445945658,81
183,76,10.6316898969667,1.9035812672,6.6679250602,93
184,71,6.54232716193333,3.1129476584,1.7538551402,96
185,70,2.4529644269,-1.859504132,7.8944908083,109
186,71,4.6566929134,7.0661157025,11.111446572,98
187,71,10.156692913,31.05785124,3.9994152365,108
188,71,-3.889197403,-2.447814208,-0.284270489,93
189,72,-1.843307087,-8.922865014,4.7114620667,90
190,75,10.756692913,19.991735537,2.319097312,111
191,68,-9.412648221,-18.0137741,-0.529247527,101
192,69,-2.218503937,3.9889807163,-0.097569355,104
193,73,6.181496063,28.994505495,3.3149764962,143
194,80,11.482853295,16.808333333,11.677768184,101
195,78,3.081496063,15.054945055,12.478573077,105
196,81,21.381496063,30.096153846,24.39830983,104
197,76,5.2292490119,19.101648352,-4.722569355,91
198,76,-4.970750988,-2.906593407,3.9857639787,103
199,73,-3.456299213,1.0521978022,3.6633773711,107
200,72,1.2025521481,0.3666666667,5.6514058618,111
201,69,3.2437007874,3.0631868132,-9.090835704,102
202,76,-6.956299213,-5.950549451,-0.430132938,92
203,70,-11.05652174,-15.9010989,0.8702507206,109
204,69,-9.619685039,-3.909340659,-1.647175858,119
205,69,-3.919685039,22.052197802,-4.365041095,110
206,65,6.4884030944,13.011396844,-1.275582613,91
207,68,1.0803149606,18.038461538,2.772997524,107
208,69,-3.519685039,-3.019230769,13.835081392,99
209,70,9.1079051383,19.041208791,10.182644457,96
210,81,13.336220472,15.074175824,26.259964137,122
211,66,-7.863779528,-10.01373626,6.8175327734,110
212,63,-12.4275038,-17.02542373,-4.264236021,90
213,63,-10.76377953,-14.95879121,-5.13683605,98
214,63,-3.363779528,21.049450549,-6.355002961,104
215,71,3.55256917,16.090659341,6.6475443142,100
216,74,6.3811023622,28.192307692,13.761315105,117
217,74,9.9811023622,36.222527473,13.6697954,99
218,72,8.8816226097,13.508474576,0.2947954,107
219,70,-6.918897638,-15.90934066,-6.560023504,114
220,72,-5.218897638,-14.8956044,3.2357639787,97
221,68,-2.757312253,-4.843406593,5.9078633035,100
222,68,2.8771653543,10.123626374,1.6972953388,106
223,72,15.677165354,34.049450549,14.485763979,103
224,76,12.838582677,17.038461538,-1.534160489,107
225,63,-12.52283465,-19.00549451,-7.858936547,114
226,58,-13.42283465,-22.01648352,-2.262724336,87
227,56,-8.124110672,-3.958791209,-10.18090269,124
228,59,3.2874015748,12.090659341,-14.09206192,113
229,66,13.587401575,41.299450549,-10.55640665,100
230,79,12.221770963,23.442937853,17.110763979,113
231,73,1.1874015748,1.3626373626,10.022292435,102
232,63,-8.612598425,-1.593406593,-3.000277921,105
233,63,3.2806324111,16.326923077,-14.76514253,105
234,64,-0.362598425,8.0769230769,-8.507036115,96
235,53,-12.96259843,-21.00824176,-11.84378914,94
236,49,-9.986731156,-9.525423729,-9.784812108,103
237,55,-11.04206349,-27.18131868,-2.98104066,111
238,60,-9.805976096,-24.21153846,-2.625487388,91
239,65,14.2356,9.7802197802,-10.81436879,122
240,65,-8.9484,-17.16483516,-10.49281774,98
241,56,-10.91084337,-17.19505495,-17.3096822,104
242,54,-12.48058149,-20.16949153,-9.915131267,105
243,53,-1.908502024,1.7637362637,-17.55109185,84
244,53,8.1658536585,24.769230769,-13.41861146,112
245,56,12.66244898,3.8818681319,-1.975704167,118
246,60,-0.13755102,9.9505494505,-10.08249318,122
247,49,-11.34430894,-10.01923077,-14.18782809,113
248,48,-11.14847026,-4.669491525,-17.70255283,99
249,58,-3.42244898,-2.082417582,-14.51918747,110
250,68,6.637704918,17.92032967,1.6793427157,103
251,67,13.918106996,23.958791209,2.0759101727,104
252,57,-11.99090909,-21.97802198,-6.040363179,94
253,52,-9.283817427,-5.032967033,-13.27867803,102
254,50,-11.19448673,-11.93220339,-12.19047664,102
255,48,-8.4132924335,-21.04945055,-11.48912886,108
256,45,-5.632098137,-11.07692308,-13.61149767,98
257,52,-2.8509038405,18.107142857,-14.00916403,120
258,54,-0.069709544,23.21978022,-10.49673238,114
259,55,5.5508333333,5.271978022,-13.37914443,120
260,62,10.351464435,24.593220339,-11.90779649,114
261,63,17.810504202,54.186813187,-16.46214059,130
262,54,-6.589873418,-17.77472527,-9.353061163,108
263,52,10.750847458,3.271978022,-18.73464655,91
264,61,22.876271186,12.321428571,-20.36831924,97
265,57,-6.550212766,-21.68956044,-18.47200494,101
266,54,-11.6381354,-21.3220339,-1.720754598,105
267,49,-12.47939914,-25.76098901,0.9165741693,102
268,41,-14.27543103,-26.8956044,7.0171621218,112
269,37,-7.741125541,-21.8543956,-2.1019746,116
270,39,-7.091774892,-10.81593407,-16.74916877,120
271,38,-4.33,-11.81593407,-13.6049644,99
272,35,4.3119168007,7.4859731151,-14.60142658,113
273,37,15.822368421,0.2142857143,-14.86857271,110
274,43,18.572687225,20.142857143,-13.45834678,97
275,52,-8.15619469,7.0412087912,-6.280432661,124
276,41,-6.643362832,-3.892857143,-5.298782194,108
277,40,1.4462222222,-0.835164835,-17.31508212,119
278,43,3.4687108396,0.8710526316,-10.58931793,123
279,50,-1.143946188,-3.582417582,-12.1089927,111
280,43,-2.690990991,-19.61813187,-5.220915373,96
281,48,5.6728506787,-1.60989011,-15.93208365,102
282,42,1.0850678733,-7.373626374,-14.54524079,109
283,48,6.3218181818,14.799450549,-15.50011731,123
284,45,-4.009721221,-5.694252874,-13.49099697,114
285,31,-3.059174312,-19.32142857,-14.60324417,114
286,34,-1.4,-0.277472527,-13.23383778,116
287,49,-6.24212963,26.739010989,-8.090668131,105
288,50,-6.998148148,6.7802197802,-8.548009599,101
289,46,-0.32744186,0.7225274725,-16.15973676,110
290,50,-1.350877193,3.2486849795,-17.68754001,117
291,50,2.49309608933333,-12.21153846,-12.35102644,103
292,48,6.33706937166667,30.887362637,-17.16211354,94
293,54,10.181042654,11.854395604,-11.63916834,123
294,63,13.822274882,25.892857143,-9.611328633,106
295,52,7.1866666667,2.8818681319,-9.576530099,102
296,45,0.6919457735,-8.336455546,-16.75594916,100
297,55,-3.2,4.9285714286,-14.01074368,112
298,61,4.8473429952,11.945054945,-13.36318004,104
299,61,13.483495146,22.912087912,-18.86755474,117
300,59,5.7417475728,1.7967032967,-15.05001811,113
301,50,-2.589268293,-20.29945055,-13.32142379,103
302,39,-5.575644995,-20.37288136,-3.335274524,99
303,38,6.6665024631,-8.351648352,-16.51281573,130
304,39,2.5435643564,-2.423076923,-17.00807048,105
305,35,4.8980099502,-12.53021978,-16.95261009,99
306,39,-3.077,-5.57967033,-16.35920349,108
307,38,-0.1985,-2.631868132,-16.13424096,112
308,38,2.1150224808,-6.533898305,-9.258035783,109
309,36,4.696969697,22.403846154,-14.23269397,125
310,44,1.81498660066667,-0.549450549,-16.4614346,113
311,37,-1.06699649566667,-17.47252747,-16.1171851,125
312,32,-3.948979592,-15.39010989,-12.81684776,124
313,43,-3.829230769,20.67032967,-14.94488873,119
314,35,0.4373440043,-9.288135593,-13.13564216,126
315,31,1.0196891192,-17.3021978,-17.15175107,107
316,23,4.3963541667,-11.43956044,-15.45630568,126
317,10,-3.429319372,-6.53021978,-7.008001697,120
318,17,-2.592146597,-2.623626374,-12.54705768,109
319,19,-7.355263158,-7.497252747,-11.52184922,140
320,25,-5.247368421,-12.68421053,-7.795543884,130
321,26,-3.79912280696667,4.5686813187,-9.947142058,138
322,36,-2.35087719293333,2.5714285714,-11.95821512,125
323,29,-0.9026315789,1.467032967,-16.36704658,156
324,22,0.545614035133332,-6.480769231,-9.666223089,120
325,7,1.99385964916667,-3.519230769,-12.93915119,99
326,13,3.4421052632,-6.372881356,-12.49622882,141
327,14,3.61853244225,-14.45604396,-2.244121522,136
328,22,3.7949596213,-14.013736265,7.1267125697,147
329,16,3.97138680035,-13.57142857,-0.772970924,136
330,-2,4.1478139794,-17.62362637,-10.32924946,128
331,1,4.32424115845,-0.582417582,-12.03290243,126
332,12,4.5006683375,-6.1,-13.1692038,128
333,1,0.76261487075,5.2967032967,-14.82616727,154
334,16,-2.975438596,-8.681318681,-4.741993255,153
335,4,-3.1087280697,-13.59615385,-9.531692431,113
336,6,-3.2420175434,-12.58516484,-1.95763261,138
337,5,-3.3753070171,-0.645604396,-11.21209459,150
338,20,-3.5085964908,2.1803039158,-11.81214736,146
339,20,-3.6418859645,-29.67307692,8.1347104595,137
340,18,-3.7751754382,-9.75,-4.399030587,139
341,23,-3.9084649119,7.0247252747,-15.19724448,118
342,30,-4.0417543856,-4.967032967,-12.91573763,138
343,28,-4.1750438593,1.1236263736,-13.91695979,93
344,29,-4.308333333,-16.80677966,-1.502495623,140
345,27,3.756178161,-2.868131868,-12.33614477,118
346,30,11.820689655,24.184065934,-14.61602612,162
347,37,9.759814557625,23.186813187,-14.50810908,138
348,42,7.69893946025,-14.84340659,-17.00646128,137
349,39,5.638064362875,-25.82417582,-13.42745914,136
350,33,3.5771892655,-12.90983607,-5.340752522,136
351,28,5.06776354141667,-18.89285714,-11.85936011,148
352,29,6.55833781733333,1.1373626374,-13.71318337,135
353,42,8.04891209325,17.145604396,-11.00239636,120
354,33,9.53948636916667,-8.956043956,-11.02865207,107
355,33,11.0300606450833,-4.052197802,-9.03551366,133
356,34,12.520634921,13.14279661,-5.318512933,137
357,36,17.169811321,-11.04945055,0.5321728301,119
358,40,14.2030858989,-9.013736264,-14.70469932,117
359,38,11.2363604768,-25.92032967,-13.86280434,131
360,41,8.2696350547,10.087912088,-6.736690202,126
361,31,5.3029096326,-14.8956044,-5.232999441,143
362,31,2.3361842105,-5.220765027,-15.34420859,113
363,40,4.79897660816667,-12.94230769,-10.80068936,145
364,33,7.26176900583333,-6.868131868,-6.686287028,143
365,37,9.7245614035,0.1291208791,-13.59699748,134
366,44,6.44327485366667,-22.86263736,-10.86661726,139
367,44,3.16198830383333,18.126373626,-10.19748272,145
368,49,-0.119298246,-4.636440678,-7.441012965,136
369,23,-1.090213328,-18.8543956,1.0339870349,135
370,23,-2.06112841,-9.695054945,-5.003366923,137
371,34,-3.032043492,4.3351648352,-5.895236709,138
372,45,-3.01382960733333,25.214285714,-6.727086024,147
373,39,-2.99561572266667,-1.736263736,-10.91121949,125
374,27,-2.977401838,-12.24166667,-7.821483296,150
375,29,-4.01228238933333,-1.741758242,-8.705882252,142
376,28,-5.04716294066667,-22.62087912,5.2172344865,137
377,25,-6.082043492,-24.57967033,2.2558801706,145
378,28,-3.37778266343333,-31.55494505,13.940632918,124
379,26,-0.673521834866667,-11.49450549,5.8589754002,136
380,29,2.0307389937,5.95,-6.001368058,133
381,27,21.963013699,22.574175824,-15.48584294,130
382,33,24.1272695615,-2.423076923,-12.16107125,155
383,36,26.291525424,12.524725275,-13.73666685,149
384,43,15.2497175143333,1.4423076923,-16.06842186,140
385,37,4.20790960466667,-29.52197802,-6.572188983,114
386,38,-6.833898305,-8.372881356,1.7124039909,138
387,37,-4.09204331443333,-1.535714286,-16.98574161,137
388,31,-1.35018832386667,-26.6043956,-0.943536015,158
389,30,1.3916666667,-13.77747253,-5.094811576,142
390,35,-1.27499999986667,-1.881868132,-7.250934754,130
391,25,-3.94166666643333,-29.97802198,14.274660303,112
392,21,-6.608333333,-13.13559322,14.595708575,109
393,24,-6.726841085,11.101648352,4.55038894,126
394,29,-6.845348837,-19.90934066,5.3184254697,152
395,29,-6.963856589,-29.97802198,15.39068694,123
396,28,-7.082364341,-19.03296703,0.62955694,124
397,27,-7.200872093,-20.02472527,8.6153791117,117
398,28,-7.319379845,-9.43045977,12.031145065,132
399,32,-3.6870578277,-28.92307692,18.142964665,124
400,31,-0.0547358104000004,4.228021978,-7.223874353,155
401,43,3.5775862069,12.302197802,-8.690266327,132
402,50,-0.1510771804,-2.722527473,7.8243964901,130
403,38,-3.8797405677,-18.73351648,5.2496641038,114
404,36,-7.608403955,-10.41666667,-0.544093797,135
405,39,-7.620230809,-0.75,-3.611483148,141
406,38,-7.632057663,-26.70879121,9.4813205977,137
407,36,-7.643884517,-8.604395604,1.2622883116,142
408,38,-7.655711371,8.4038461538,-8.285444013,120
409,35,-7.667538225,-12.63736264,9.7226334354,121
410,32,-7.679365079,-9.316666667,7.2262483181,147
411,35,-4.86779661,-14.59615385,7.6101428915,143
412,41,-1.95590395466,3.5,0.3150477916,103
413,43,0.955988700680001,22.478021978,-3.992241825,113
414,48,3.86788135602,-7.510989011,-5.317945175,115
415,55,6.77977401136,65.543956044,1.9163114482,116
416,60,9.6916666667,30.933333333,8.2015904406,122
417,58,6.85443704608333,13.68956044,-8.013949366,113
418,64,4.01720742546667,13.651098901,-9.849654601,115
419,63,1.17997780485,8.6565934066,-8.319291577,117
420,56,-1.65725181576667,-17.35714286,-1.18117938,97
421,50,-4.49448143638334,-15.37912088,-3.786625693,108
422,53,-7.331711057,-13.8954023,0.563058169,108
423,55,-4.137889427,26.593406593,6.0014545947,127
424,55,-0.944067797,3.5494505495,7.8865779356,122
425,45,-6.930188679,-25.6043956,7.7326606365,126
426,47,-6.76543255566667,-19.68681319,9.3285860212,108
427,46,-6.60067643233333,-22.5989011,0.1258197389,114
428,45,-6.435920309,-6.211309524,1.2524695002,113
429,50,1.414,4.3049450549,-3.679416145,120
430,49,-0.738978293,30.285714286,4.36022492,101
431,49,-2.891956586,-4.741758242,11.08544369,119
432,44,-1.43927049236667,-25.82417582,1.2429843707,121
433,44,0.0134156012666664,-24.83791209,-5.244564135,120
434,42,1.4661016949,-3.32112069,-13.13736161,108
435,42,4.30645510275,13.274725275,-12.61933678,106
436,45,7.1468085106,11.214285714,-1.844272394,117
437,54,2.69095681295,0.2005494505,2.1166646658,111
438,48,-1.7648948847,-0.978021978,-10.68473507,100
439,43,-6.22074658235,-32.98626374,4.6506422581,116
440,44,-10.67659828,-15.54872881,8.6625685076,119
441,48,-10.2896745966667,-12.73901099,8.2047527138,90
442,51,-9.90275091333333,1.1950549451,14.659255054,103
443,50,-9.51582723,-2.71978022,2.976666079,113
444,51,-9.12890354666667,-19.6043956,5.9802287643,113
445,52,-8.74197986333333,-16.79945055,10.392772252,109
446,51,-8.35505618,-4.164285714,7.7200824048,104
447,56,-7.92189945316667,-4.090659341,7.4230300719,106
448,58,-7.48874272633333,-1.184065934,19.473871162,94
449,64,-7.0555859995,18.664835165,16.989773813,114
450,67,-6.62242927266667,42.64010989,18.383982192,144
451,70,-6.18927254583333,41.576923077,11.959686162,102
452,58,-5.756115819,-9.327586207,-4.089270388,89
453,56,-4.20740471688333,-0.818681319,-4.077614616,103
454,53,-2.65869361476667,-23.85164835,-11.14096594,116
455,51,-1.10998251265,-24.90659341,-5.60729541,97
456,58,0.438728589466667,-0.049450549,8.4018855597,102
457,67,1.98743969158333,30.934065934,9.7923408799,132
458,62,3.5361507937,13.234804208,3.8836073714,100
459,51,11.6510011138,-16.07417582,6.0339885124,102
460,53,19.7658514339,-17.18131868,3.250472475,101
461,60,27.880701754,16.708791209,-2.68968829,107
462,69,15.6931200053333,11.747252747,14.508607371,96
463,69,3.50553825666667,-1.266483516,5.7734961357,116
464,61,-8.682043492,-15.62711864,-1.708702646,93
465,61,-0.179841860000002,-7.241758242,-2.98229541,104
466,64,8.322359772,18.642857143,13.400965808,95
467,66,16.824561404,32.489010989,22.146280365,118
468,59,7.370943366,-23.55494505,11.089146517,91
469,60,-2.082674672,-13.60164835,-6.44220344,88
470,51,-11.53629271,-17.69138418,-5.505823948,114
471,56,-7.1633465615,1.4148351648,4.0756551791,114
472,60,-2.790400413,-12.54120879,0.1716576877,95
473,64,1.5825457355,24.519230769,1.1403744112,96
474,75,5.955491884,10.508241758,5.1796841469,108
475,76,10.3284380325,13.645604396,23.83160748,94
476,70,14.701384181,18.333757062,26.295977945,109
477,73,12.233377377,2.8598901099,4.5421391416,102
478,65,9.765370573,-0.107142857,-6.289072906,110
479,64,7.297363769,-21.06318681,-9.410853483,124
480,58,4.829356965,-18.23351648,-1.400536773,85
481,64,2.361350161,-1.28021978,8.6392672663,114
482,75,-0.106656643,-3.122316384,6.4314784233,108
483,80,2.496737346,16.813186813,8.750472475,107
484,81,5.100131335,-1.192307692,13.274818823,98
485,80,7.703525324,3.7225274725,14.89270459,120
486,79,10.306919313,15.642857143,2.2956699564,107
487,79,12.910313302,24.563186813,3.741132696,111
488,78,15.513707291,14.066666667,7.5629470314,94
489,75,17.412727273,6.5796703297,17.016129893,88
490,65,11.6489299604,-15.38736264,3.854613698,114
491,66,5.8851326478,-22.4478022,2.239358436,99
492,58,0.121335335200001,-27.32692308,3.0364459632,102
493,61,-5.6424619774,-15.2967033,2.000472475,102
494,57,-11.40625929,-16.55946328,3.0577965599,85
495,59,-4.04756908633333,-0.28021978,3.3347928954,101
496,68,3.31112111733333,-7.203296703,13.880813184,97
497,67,10.669811321,1.7527472527,30.083805808,101
498,72,17.640108132,29.744505495,25.373765196,123
499,74,24.610404943,46.736263736,8.1879470314,97
500,76,31.580701754,26.357142857,21.165219759,111
501,76,24.2437382762667,-6.288461538,3.4868647334,89
502,75,16.9067747985333,10.695054945,7.6843712565,105
503,76,9.5698113208,7.6236263736,10.825655179,95
504,78,3.1040736012,8.6730769231,15.887465482,106
505,77,-3.3616641184,18.703296703,4.3927045899,94
506,66,-9.827401838,-9.423728814,-0.168689867,94
507,68,-7.11589042055,-2.244505495,5.1576083078,98
508,74,-4.4043790031,-4.18956044,2.5474798506,114
509,77,-1.69286758565,-2.200549451,4.5777860069,98
510,84,1.0186438318,30.793956044,5.5148720249,111
511,86,3.73015524925,8.7589041096,5.7226005997,90
512,87,6.4416666667,1,10.187947031,104
513,79,5.31647834276667,-7.205479452,3.4379470314,113
514,75,4.19129001883333,-9.18630137,3.6589545947,116
515,76,3.0661016949,38.756164384,15.053726321,89
516,76,-0.791735005066667,-2.221917808,10.000472475,105
517,64,-4.64957170503333,-25.23287671,-0.541194192,89
518,67,-8.507408405,-6.268939394,-2.145386302,83
519,68,-6.77362467893333,11.761643836,0.8419407048,99
520,70,-5.03984095286667,39.816438356,8.0421391416,103
521,74,-3.3060572268,62.868493151,22.104613698,133
522,78,-1.57227350073333,51.84109589,26.833805808,93
523,82,0.161510225333334,76.81369863,21.576463864,115
